links,title,time,content,class
https://nltimes.nl/2023/01/05/eu-countries-demand-negative-coronavirus-test-travelers-china,More EU countries demand negative coronavirus test for travelers from China,5 January 2023 - 18:20,,Health
https://nltimes.nl/2023/01/05/ferry-groningen-norway-popularity-rising-winter-sports,Ferry from Groningen to Norway popularity is rising with winter sports,5 January 2023 - 16:40,,BusinessCultureLifestyle
https://nltimes.nl/2023/01/05/projection-white-lives-matter-previously-seen-venlo,Projection of “White Lives Matter” was previously seen in Venlo,5 January 2023 - 15:50,,Crime
https://nltimes.nl/2023/01/05/sharp-increase-small-business-absenteeism-sick-leave-2022,"Sharp increase in small business absenteeism, sick leave in 2022",5 January 2023 - 15:00,,Health
https://nltimes.nl/2023/01/05/ajax-make-geronimo-rulli-first-signing-january-window,Ajax make Geronimo Rulli their first signing of the January window,5 January 2023 - 14:10,,Sports
https://nltimes.nl/2023/01/05/used-car-prices-rise-new-record-december,Used car prices rise to new record in December,5 January 2023 - 13:20,,Business
https://nltimes.nl/2023/01/05/daley-blind-joins-bayern-munich-surprising-move,Daley Blind joins Bayern Munich in a surprising move,5 January 2023 - 12:30,,Sports
/2023/01/08/foreign-minister-hoekstra-summons-iranian-ambassador-executions,Foreign Minister Hoekstra summons Iranian ambassador over executions,8 January 2023 - 09:45,,Politics
/2023/01/08/many-people-still-looking-alleged-nazi-treasure-near-ommeren,Many people still looking for alleged Nazi treasure near Ommeren,8 January 2023 - 09:13,,PoliticsCultureWeird
/2023/01/08/train-traffic-zwolle-meppel-back-track-repairs,Train traffic between Zwolle and Meppel back on track after repairs,8 January 2023 - 08:30,,1-1-2Business
https://nltimes.nl/2023/01/05/hay-fever-season-gets-early-start-2023-due-warm-winter-weather,Hay fever season gets an early start in 2023 due to warm winter weather,5 January 2023 - 11:40,,HealthTechNature
https://nltimes.nl/2023/01/05/dutch-household-savings-fell-slightly-prices-rose,Dutch household savings fell slightly as prices rose,5 January 2023 - 10:50,,Business
https://nltimes.nl/2023/01/05/circus-acrobat-seriously-hurt-15-meter-fall-wheel-death,Circus acrobat seriously hurt in 15 meter fall from Wheel of Death,5 January 2023 - 10:31,,1-1-2CultureEntertainment
https://nltimes.nl/2023/01/05/emma-noah-sam-popular-names-dutch-children-2022,"Emma, Noah and Sam were the most popular names for Dutch children in 2022",5 January 2023 - 09:34,,CultureLifestyle
